words,sentiment
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"???? ??? ?? ??? ??? ??? ???? ??, ??? ??? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"??? ???? ????? ??? ??????? ???? ??????? ??? ????? ???? ????,negative",negative
"???? ????? ?? ??? ?????? ??? ????? ???? ???? ????,positive",postive
"???? ???? ?? ?? ?? ????? ?? ????? ??? ?? ??????? ?????,negative",negative
"?? ???? ??????? ?? ?? ??? ???? ?? ??? ????,positive",postive
"?? ????? ???? ?? ?????? ??, ????? ??? ????? ??? ?? ?????,negative",negative
"?? ???? ??? ???,neutral",neutral
"????? ??? ???? ???? ???,neutral",neutral
"????? ?? ?????? ?????,neutral",neutral
"?? ??? ?? ??? ???,neutral",neutral
"?? ?? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ??? ???? ???,neutral",neutral
"?? ????? ???? ??????,neutral",neutral
"????? ?? ???? ??????? ?? ?????,neutral",neutral
"????? ?? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"?? ??? ?? ???? ???? ?? ??? ???,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"????? ?? ?? ?? ??? ?????,neutral",neutral
"?? ???? ?? ???? ???,neutral",neutral
"????? ?? ???? ?? ??? ?? ??? ?????,neutral",neutral
"?? ?? ??? ???? ???,neutral",neutral
"????? ?? ??? ?????,neutral",neutral
"?? ????? ???? ????? ?????,neutral",neutral
"????? ?? ???? ??????? ?? ??? ?????,neutral",neutral
"?? ??? ??? ???? ????,neutral",neutral
"???? ??? ?? ??? ???? ??? ???,neutral",neutral
"?? ????? ???? ?????? ?? ??? ??? ???????,neutral",neutral
???? ???? ?? ?? ???? ??? ?????? ?? ??? ???,negative
?? ????? ???? ??????? ??? ???? ???? ???????? ?????,negative
????? ???? ??????? ?? ??? ????? ???? ???,negative
????? ???? ????? ?? ????? ???? ???? ???,negative
???? ????? ?????????? ?? ?? ???,negative
???? ???? ?? ?? ????? ??? ????? ???? ???,negative
???? ???? ?? ???? ?? ??? ????,negative
????? ???? ?????? ?? ????? ???? ???,negative
???? ??? ???? ?? ???? ?? ??? ????,negative
???? ???? ?? ?? ??? ??? ?? ??? ???? ?? ?????,negative
????? ???? ??????? ?? ????? ???? ???,negative
???? ???? ????? ???,negative
??? ???? ????? ????? ?? ??? ????,negative
???? ???? ?? ?? ???? ??? ??? ?????? ???? ???,negative
???? ?????? ??? ??? ?????? ???? ???,negative
???? ????? ???? ???,negative
???? ???? ?? ?? ??? ??? ?? ???? ?? ?????,negative
???? ???? ????? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ?? ?? ???? ?????? ?????? ??? ???,negative
???? ??? ???? ?? ???? ???? ??? ???,negative
??? ???? ?????? ?? ?????? ????,negative
???? ???? ?? ?? ?????? ? ??? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ?? ?? ???? ?????? ?????? ??? ???,negative
???? ??? ???? ?? ???? ???? ??? ???,negative
??? ???? ?????? ?? ?????? ????,negative
???? ???? ?? ?? ?????? ? ??? ???,negative
??? ???? ?? ????? ????,negative
???? ??? ???? ?? ???? ?? ??? ????,negative
??? ??? ?? ????? ??? ??? ????,negative
???? ???? ???? ?? ???????? ???,negative
??? ???? ??????? ?? ?????? ????,negative
????? ???? ????? ??? ???? ???? ????? ?????,negative
???? ???? ?? ?? ??? ??? ?? ??? ???? ?? ?????,negative
??? ???? ??????? ?? ????? ???? ???,negative
???? ???? ????? ???,negative
??? ???? ????? ????? ?? ??? ????,negative
???? ???? ?? ?? ???? ??? ??? ?????? ???? ???,negative
???? ?????? ??? ??? ?????? ???? ???,negative
???? ????? ???? ???,negative
???? ???? ?? ?? ??? ??? ?? ???? ?? ?????,negative
???? ???? ????? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ?? ?? ???? ?????? ?????? ??? ???,negative
???? ??? ???? ?? ???? ???? ??? ???,negative
??? ???? ?????? ?? ?????? ????,negative
???? ???? ?? ?? ?????? ? ??? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ?? ?? ???? ?????? ?????? ??? ???,negative
???? ??? ???? ?? ???? ???? ??? ???,negative
??? ???? ?????? ?? ?????? ????,negative
???? ???? ?? ?? ?????? ? ??? ???,negative
??? ???? ?? ????? ????,negative
???? ??? ???? ?? ???? ?? ??? ????,negative
??? ??? ?? ????? ??? ??? ????,negative
???? ???? ???? ?? ???????? ???,negative
??? ???? ??????? ?? ?????? ????,negative
??? ???? ???? ?? ???? ??? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
???? ??? ???? ???? ????? ????? ????,positive
??? ???? ?????? ?? ???? ????? ???? ????,positive
???? ?????? ??? ??? ????? ??? ?? ??? ????,positive
???? ???? ???? ?? ???????? ???,positive
???? ???? ?? ?? ??? ???? ????? ?? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ???????? ????,positive
???? ???? ?? ?? ??? ???? ??? ????,positive
??? ???? ????? ??? ???? ??? ????,positive
???? ?????? ?? ????? ????? ???? ????? ???? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????????? ????,positive
???? ???? ?? ?? ???? ???? ??? ??? ????? ????? ?? ?? ??? ????,positive
??? ???? ??????? ?? ??? ???? ????? ???? ????,positive
???? ?????? ???? ?? ????????? ???,positive
???? ???? ?? ?? ??? ???? ?????? ?? ????? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????? ?? ??? ????,positive
???? ???? ?? ?? ??? ???? ?????? ??? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ??????? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
??? ???? ???? ?? ???? ??? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
???? ??? ???? ???? ????? ????? ????,positive
??? ???? ?????? ?? ???? ????? ???? ????,positive
???? ?????? ??? ??? ????? ??? ?? ??? ????,positive
???? ???? ???? ?? ???????? ???,positive
???? ???? ?? ?? ??? ???? ????? ?? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ???????? ????,positive
???? ???? ?? ?? ??? ???? ??? ????,positive
??? ???? ????? ??? ???? ??? ????,positive
???? ?????? ?? ????? ????? ???? ????? ???? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????????? ????,positive
???? ???? ?? ?? ???? ???? ??? ??? ????? ????? ?? ?? ??? ????,positive
??? ???? ??????? ?? ??? ???? ????? ???? ????,positive
???? ?????? ???? ?? ????????? ???,positive
???? ???? ?? ?? ??? ???? ?????? ?? ????? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????? ?? ??? ????,positive
???? ???? ?? ?? ??? ???? ?????? ??? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ??????? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
??? ???? ???? ?? ???? ??? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
???? ??? ???? ???? ????? ????? ????,positive
??? ???? ?????? ?? ???? ????? ???? ????,positive
???? ?????? ??? ??? ????? ??? ?? ??? ????,positive
???? ???? ???? ?? ???????? ???,positive
???? ???? ?? ?? ??? ???? ????? ?? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ???????? ????,positive
???? ???? ?? ?? ??? ???? ??? ????,positive
??? ???? ????? ??? ???? ??? ????,positive
???? ?????? ?? ????? ????? ???? ????? ???? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????????? ????,positive
???? ???? ?? ?? ???? ???? ??? ??? ????? ????? ?? ?? ??? ????,positive
??? ???? ??????? ?? ??? ???? ????? ???? ????,positive
???? ?????? ???? ?? ????????? ???,positive
???? ???? ?? ?? ??? ???? ?????? ?? ????? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????? ?? ??? ????,positive
???? ???? ?? ?? ??? ???? ?????? ??? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ??????? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
??? ???? ???? ?? ???? ??? ????,positive
???? ???? ?? ?? ??? ???? ????? ?? ???? ???????,positive
???? ??? ???? ???? ????? ????? ????,positive
??? ???? ?????? ?? ???? ????? ???? ????,positive
???? ?????? ??? ??? ????? ??? ?? ??? ????,positive
???? ???? ???? ?? ???????? ???,positive
???? ???? ?? ?? ??? ???? ????? ?? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ???????? ????,positive
???? ???? ?? ?? ??? ???? ??? ????,positive
??? ???? ????? ??? ???? ??? ????,positive
???? ?????? ?? ????? ????? ???? ????? ???? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????????? ????,positive
???? ???? ?? ?? ???? ???? ??? ??? ????? ????? ?? ?? ??? ????,positive
??? ???? ??????? ?? ??? ???? ????? ???? ????,positive
???? ?????? ???? ?? ????????? ???,positive
???? ???? ?? ?? ??? ???? ?????? ?? ????? ????? ????,positive
??? ???? ????? ?? ???? ???? ?? ??? ????? ?? ??? ????,positive
???? ???? ?? ?? ??? ???? ?????? ??? ??? ?? ???????,positive
??? ???? ??? ??? ???? ?? ??????? ????,positive
?? ???? ?? ??? ??? ???,positive
???? ?? ???? ????? ????,positive
?? ???? ?? ???????? ??????? ???,positive
?? ?????? ??? ???,positive
???? ??? ???? ?? ?? ????,positive
?? ???? ?? ??? ?? ??? ???,positive
????? ???? ????? ????? ?????,positive
?? ????? ????? ???? ???,positive
???? ??? ?? ??? ???,positive
?? ???? ?? ?????????? ???,positive
??? ????? ????,negative
???? ???? ??? ???? ?????,negative
?? ???? ?? ?????? ??? ???,negative
???? ?? ???? ???,negative
???? ???? ????,negative
?? ?????? ??? ???,negative
??? ???? ?????? ????,negative
?? ???? ??? ??? ?????,negative
??? ???? ????? ????,negative
???? ???? ??? ???? ???? ?????,negative
?? ?? ????? ????? ???,netural
?? ???? ??? ???,netural
???? ??? ????? ??? ????,netural
?? ???? ??? ??? ?????? ???,netural
???? ???? ??? ??? ????,netural
?? ????? ????? ???,netural
????? ??? ??? ??? ???? ???,netural
???? ??????? ??????? ???? ???,netural
?? ??? ???,netural
???? ????? ?????? ????,netural
?? ????? ???? ??? ?? ????? ???,netural
?????? ??? ?? ??? ???? ???,netural
?? ???????? ???? ??? ??? ???? ?? ?????? ???,netural
???? ??? ???? ??? ?? ??? ????? ?????,netural
???? ?????? ???? ????? ?? ?????? ???,netural
"?? ????? ?? ???? ??, ?????? ??? ?? ???? ???",netural
?? ?? ?????? ????????? ???,netural
"?????? ?? ??????, ?? ??? ?? ????? ??? ???",netural
?? ?????? ??????? ???,netural
?? ???????? ?? ???? ???? ?? ?????? ????? ???,netural
???? ???? ?? ???? ?? ???? ?????,netural
???? ?????? ??? ?? ??? ????? ?????,netural
???? ????? ????? ?? ??? ?????????? ???,netural
???? ???? ???????? ?? ????? ?????,netural
?? ?????? ??? ?? ?? ?? ???? ???,netural
?? ???? ?? ???,netural
???? ???? ????? ?? ?????,netural
???? ??? ????? ?? ?????? ?????,netural
?? ?????? ???? ???,netural
???? ?????? ???????? ???,netural
?? ???? ?? ????? ?? ???? ?? ??? ???,netural
?? ????? ??????? ????,netural
?????? ?? ?? ?? ?? ???? ???,netural
?? ???? ??? ?? ??????? ?? ???? ???? ???,netural
?? ?? ?????? ?????? ???,netural
???? ??? ?????,netural
?? ???? ???????? ?? ?????? ???,netural
?? ???? ??????????????? ?? ??? ???? ????? ???????????? ?? ??? ???,netural
?? ?????? ???,netural
???? ?????? ???????? ???,netural
???? ???? ?? ?????? ?????,netural
?? ??????? ?? ???,netural
???? ?????? ?? ?????? ?????,netural
?? ?????? ?? ?? ?? ?? ?? ???? ???,netural
???? ????? ????? ???,netural
?? ?? ?? ?????? ???,netural
???? ??? ?????,netural
?? ?? ?????? ????????? ???,netural
???? ???? ?? ????? ?????,netural
????? ??? ??? ???? ???,netural
?? ????????? ???,netural
???? ???? ???????? ?? ????? ???? ?? ?????? ?? ?????,netural
?? ?????? ?? ?? ?? ?? ???? ???,netural
?? ???? ????? ?? ????? ???,netural
?? ?????? ???,netural
?????? ??????? ???,netural
???? ?????? ??? ?? ??? ?? ??? ?????,netural
?? ????????? ???,netural
???? ?????? ?? ?? ?????,netural
?? ?????? ?? ?? ?? ???? ???,netural
???? ?? ?????? ???? ????? ?? ??? ???,negative
???? ???? ??????? ?? ????? ???,negative
???? ?? ???? ???? ???,negative
???? ??????? ???? ?? ????? ???,negative
??? ???? ?? ????? ????,negative
?? ??????? ??? ???,negative
??? ?? ???? ?????? ????,negative
???? ???? ??? ???? ??? ?????,negative
??? ???? ?? ????? ????,negative
???? ???? ??? ???? ?????,negative
?? ???? ???? ???? ??? ???,negative
???? ?? ???? ?? ???? ???,negative
???? ???? ?????? ??????,negative
?? ?????? ??? ???? ???,negative
???? ??????? ???? ?? ??????? ???,negative
???? ????? ???? ???? ???,negative
?? ?????? ???? ?? ???? ???,negative
?? ???? ?? ?????? ??? ???,negative
??? ???? ?? ?????? ????,negative
???? ???? ????,negative
???? ?? ???? ???? ???,negative
???? ???? ????? ????? ???,negative
?? ???? ???? ?????? ??? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ??? ???? ???? ?????,negative
?? ???? ?? ???? ???,negative
???? ?? ???? ?? ???? ???,negative
???? ???? ?????? ??????,negative
?? ?????? ??? ???? ???,negative
?? ???? ?? ?????? ???,negative
??? ???? ?? ????? ????,negative
???? ???? ???? ?????,negative
???? ?? ???? ?? ???? ???,negative
?? ???? ?? ?????? ???,negative
??? ?? ???? ?? ???? ????,negative
???? ???? ??????? ?? ????? ???,negative
?? ??????? ??? ???,negative
??? ???? ?? ????? ????,negative
?? ???? ?? ?????? ???,negative
???? ?? ???? ?? ???? ???,negative
???? ???? ??? ???? ???? ???,negative
??? ?? ???? ?? ?????? ????,negative
???? ???? ????? ????? ???,negative
?? ?????? ???? ?? ????? ???,negative
???? ???? ??? ???? ??? ???? ???,negative
??? ???? ?? ????? ????,negative
?? ???? ?? ?????? ??? ???,negative
???? ?? ???? ?? ???? ???,negative
???? ???? ?????? ????? ???,negative
?? ???? ?? ?????? ???,negative
???? ?? ???? ????? ????,positive
???? ???? ??? ???,positive
?? ?????? ??? ?????? ???,positive
